Filename,Date,Subject,ChatGPT Prompt (copy this into Coloring Book Hero)
august_13.png,August 13,a butterfly,"Simple black and white coloring book page for a 4-year-old of a butterfly. Clean outlines, no shading, lots of white space."
august_14.png,August 14,a dragonfly,"Simple black and white coloring book page for a 4-year-old of a dragonfly. Clean outlines, no shading, lots of white space."
august_15.png,August 15,a summer garden,"Simple black and white coloring book page for a 4-year-old of a summer garden. Clean outlines, no shading, lots of white space."
august_16.png,August 16,fish in a pond,"Simple black and white coloring book page for a 4-year-old of fish in a pond. Clean outlines, no shading, lots of white space."
august_17.png,August 17,a frog,"Simple black and white coloring book page for a 4-year-old of a frog. Clean outlines, no shading, lots of white space."
august_18.png,August 18,a watermelon,"Simple black and white coloring book page for a 4-year-old of a watermelon. Clean outlines, no shading, lots of white space."
august_19.png,August 19,blueberries,"Simple black and white coloring book page for a 4-year-old of blueberries. Clean outlines, no shading, lots of white space."
august_20.png,August 20,peaches,"Simple black and white coloring book page for a 4-year-old of peaches. Clean outlines, no shading, lots of white space."
august_21.png,August 21,late summer clouds,"Simple black and white coloring book page for a 4-year-old of late summer clouds. Clean outlines, no shading, lots of white space."
august_22.png,August 22,first falling leaves,"Simple black and white coloring book page for a 4-year-old of first falling leaves. Clean outlines, no shading, lots of white space."
august_23.png,August 23,acorns,"Simple black and white coloring book page for a 4-year-old of acorns. Clean outlines, no shading, lots of white space."
august_24.png,August 24,a spider web with dew,"Simple black and white coloring book page for a 4-year-old of a spider web with dew. Clean outlines, no shading, lots of white space."
august_25.png,August 25,a bee,"Simple black and white coloring book page for a 4-year-old of a bee. Clean outlines, no shading, lots of white space."
august_26.png,August 26,a grasshopper,"Simple black and white coloring book page for a 4-year-old of a grasshopper. Clean outlines, no shading, lots of white space."
august_27.png,August 27,school scissors,"Simple black and white coloring book page for a 4-year-old of school scissors. Clean outlines, no shading, lots of white space."
august_28.png,August 28,a glue stick,"Simple black and white coloring book page for a 4-year-old of a glue stick. Clean outlines, no shading, lots of white space."
august_29.png,August 29,a notebook,"Simple black and white coloring book page for a 4-year-old of a notebook. Clean outlines, no shading, lots of white space."
august_30.png,August 30,friends at school,"Simple black and white coloring book page for a 4-year-old of friends at school. Clean outlines, no shading, lots of white space."
august_31.png,August 31,a summer memory,"Simple black and white coloring book page for a 4-year-old of a summer memory. Clean outlines, no shading, lots of white space."
september_01.png,September 1,autumn leaves,"Simple black and white coloring book page for a 4-year-old of autumn leaves. Clean outlines, no shading, lots of white space."
september_02.png,September 2,acorns,"Simple black and white coloring book page for a 4-year-old of acorns. Clean outlines, no shading, lots of white space."
september_03.png,September 3,apples on a tree,"Simple black and white coloring book page for a 4-year-old of apples on a tree. Clean outlines, no shading, lots of white space."
september_04.png,September 4,a school scene,"Simple black and white coloring book page for a 4-year-old of a school scene. Clean outlines, no shading, lots of white space."
september_05.png,September 5,a school bus,"Simple black and white coloring book page for a 4-year-old of a school bus. Clean outlines, no shading, lots of white space."
september_06.png,September 6,pencils and paper,"Simple black and white coloring book page for a 4-year-old of pencils and paper. Clean outlines, no shading, lots of white space."
september_07.png,September 7,a squirrel with a nut,"Simple black and white coloring book page for a 4-year-old of a squirrel with a nut. Clean outlines, no shading, lots of white space."
september_08.png,September 8,mushrooms,"Simple black and white coloring book page for a 4-year-old of mushrooms. Clean outlines, no shading, lots of white space."
september_09.png,September 9,pears,"Simple black and white coloring book page for a 4-year-old of pears. Clean outlines, no shading, lots of white space."
september_10.png,September 10,a harvest basket,"Simple black and white coloring book page for a 4-year-old of a harvest basket. Clean outlines, no shading, lots of white space."
september_11.png,September 11,corn,"Simple black and white coloring book page for a 4-year-old of corn. Clean outlines, no shading, lots of white space."
september_12.png,September 12,a spider and web,"Simple black and white coloring book page for a 4-year-old of a spider and web. Clean outlines, no shading, lots of white space."
september_13.png,September 13,an owl on a branch,"Simple black and white coloring book page for a 4-year-old of an owl on a branch. Clean outlines, no shading, lots of white space."
september_14.png,September 14,sunflowers,"Simple black and white coloring book page for a 4-year-old of sunflowers. Clean outlines, no shading, lots of white space."
september_15.png,September 15,pumpkins,"Simple black and white coloring book page for a 4-year-old of pumpkins. Clean outlines, no shading, lots of white space."
september_16.png,September 16,an autumn tree,"Simple black and white coloring book page for a 4-year-old of an autumn tree. Clean outlines, no shading, lots of white space."
september_17.png,September 17,grapes,"Simple black and white coloring book page for a 4-year-old of grapes. Clean outlines, no shading, lots of white space."
september_18.png,September 18,a foggy morning,"Simple black and white coloring book page for a 4-year-old of a foggy morning. Clean outlines, no shading, lots of white space."
september_19.png,September 19,a deer in the forest,"Simple black and white coloring book page for a 4-year-old of a deer in the forest. Clean outlines, no shading, lots of white space."
september_20.png,September 20,berries on a branch,"Simple black and white coloring book page for a 4-year-old of berries on a branch. Clean outlines, no shading, lots of white space."
september_21.png,September 21,a bat at dusk,"Simple black and white coloring book page for a 4-year-old of a bat at dusk. Clean outlines, no shading, lots of white space."
september_22.png,September 22,a hayride,"Simple black and white coloring book page for a 4-year-old of a hayride. Clean outlines, no shading, lots of white space."
september_23.png,September 23,a maple leaf,"Simple black and white coloring book page for a 4-year-old of a maple leaf. Clean outlines, no shading, lots of white space."
september_24.png,September 24,pinecones,"Simple black and white coloring book page for a 4-year-old of pinecones. Clean outlines, no shading, lots of white space."
september_25.png,September 25,gourds,"Simple black and white coloring book page for a 4-year-old of gourds. Clean outlines, no shading, lots of white space."
september_26.png,September 26,a red wagon of apples,"Simple black and white coloring book page for a 4-year-old of a red wagon of apples. Clean outlines, no shading, lots of white space."
september_27.png,September 27,a scarecrow,"Simple black and white coloring book page for a 4-year-old of a scarecrow. Clean outlines, no shading, lots of white space."
september_28.png,September 28,a harvest moon,"Simple black and white coloring book page for a 4-year-old of a harvest moon. Clean outlines, no shading, lots of white space."
september_29.png,September 29,a crow on a fence,"Simple black and white coloring book page for a 4-year-old of a crow on a fence. Clean outlines, no shading, lots of white space."
september_30.png,September 30,an autumn scene,"Simple black and white coloring book page for a 4-year-old of an autumn scene. Clean outlines, no shading, lots of white space."
october_01.png,October 1,a pumpkin,"Simple black and white coloring book page for a 4-year-old of a pumpkin. Clean outlines, no shading, lots of white space."
october_02.png,October 2,stars,"Simple black and white coloring book page for a 4-year-old of stars. Clean outlines, no shading, lots of white space."
october_03.png,October 3,autumn leaves,"Simple black and white coloring book page for a 4-year-old of autumn leaves. Clean outlines, no shading, lots of white space."
october_04.png,October 4,a haystack,"Simple black and white coloring book page for a 4-year-old of a haystack. Clean outlines, no shading, lots of white space."
october_05.png,October 5,an owl,"Simple black and white coloring book page for a 4-year-old of an owl. Clean outlines, no shading, lots of white space."
october_06.png,October 6,an apple tree,"Simple black and white coloring book page for a 4-year-old of an apple tree. Clean outlines, no shading, lots of white space."
october_07.png,October 7,a scarecrow,"Simple black and white coloring book page for a 4-year-old of a scarecrow. Clean outlines, no shading, lots of white space."
october_08.png,October 8,a moon,"Simple black and white coloring book page for a 4-year-old of a moon. Clean outlines, no shading, lots of white space."
october_09.png,October 9,corn,"Simple black and white coloring book page for a 4-year-old of corn. Clean outlines, no shading, lots of white space."
october_10.png,October 10,an autumn forest,"Simple black and white coloring book page for a 4-year-old of an autumn forest. Clean outlines, no shading, lots of white space."
october_11.png,October 11,a bat,"Simple black and white coloring book page for a 4-year-old of a bat. Clean outlines, no shading, lots of white space."
october_12.png,October 12,a spider web,"Simple black and white coloring book page for a 4-year-old of a spider web. Clean outlines, no shading, lots of white space."
october_13.png,October 13,a harvest basket,"Simple black and white coloring book page for a 4-year-old of a harvest basket. Clean outlines, no shading, lots of white space."
october_14.png,October 14,a diya lamp,"Simple black and white coloring book page for a 4-year-old of a diya lamp. Clean outlines, no shading, lots of white space."
october_15.png,October 15,Diwali lanterns,"Simple black and white coloring book page for a 4-year-old of Diwali lanterns. Clean outlines, no shading, lots of white space."
october_16.png,October 16,a Rangoli pattern,"Simple black and white coloring book page for a 4-year-old of a Rangoli pattern. Clean outlines, no shading, lots of white space."
october_17.png,October 17,a peacock,"Simple black and white coloring book page for a 4-year-old of a peacock. Clean outlines, no shading, lots of white space."
october_18.png,October 18,fireworks,"Simple black and white coloring book page for a 4-year-old of fireworks. Clean outlines, no shading, lots of white space."
october_19.png,October 19,a Ramayana scene,"Simple black and white coloring book page for a 4-year-old of a Ramayana scene. Clean outlines, no shading, lots of white space."
october_20.png,October 20,Diwali sweets,"Simple black and white coloring book page for a 4-year-old of Diwali sweets. Clean outlines, no shading, lots of white space."
october_21.png,October 21,diyas,"Simple black and white coloring book page for a 4-year-old of diyas. Clean outlines, no shading, lots of white space."
october_22.png,October 22,a unicorn,"Simple black and white coloring book page for a 4-year-old of a unicorn. Clean outlines, no shading, lots of white space."
october_23.png,October 23,a decorated elephant,"Simple black and white coloring book page for a 4-year-old of a decorated elephant. Clean outlines, no shading, lots of white space."
october_24.png,October 24,a pumpkin patch,"Simple black and white coloring book page for a 4-year-old of a pumpkin patch. Clean outlines, no shading, lots of white space."
october_25.png,October 25,a Jack-o-lantern,"Simple black and white coloring book page for a 4-year-old of a Jack-o-lantern. Clean outlines, no shading, lots of white space."
october_26.png,October 26,a witch hat,"Simple black and white coloring book page for a 4-year-old of a witch hat. Clean outlines, no shading, lots of white space."
october_27.png,October 27,candy corn,"Simple black and white coloring book page for a 4-year-old of candy corn. Clean outlines, no shading, lots of white space."
october_28.png,October 28,a ghost,"Simple black and white coloring book page for a 4-year-old of a ghost. Clean outlines, no shading, lots of white space."
october_29.png,October 29,an autumn tree,"Simple black and white coloring book page for a 4-year-old of an autumn tree. Clean outlines, no shading, lots of white space."
october_30.png,October 30,a Halloween scene,"Simple black and white coloring book page for a 4-year-old of a Halloween scene. Clean outlines, no shading, lots of white space."
october_31.png,October 31,a Halloween night sky,"Simple black and white coloring book page for a 4-year-old of a Halloween night sky. Clean outlines, no shading, lots of white space."
november_01.png,November 1,a turkey,"Simple black and white coloring book page for a 4-year-old of a turkey. Clean outlines, no shading, lots of white space."
november_02.png,November 2,falling leaves,"Simple black and white coloring book page for a 4-year-old of falling leaves. Clean outlines, no shading, lots of white space."
november_03.png,November 3,All Saints Day scene,"Simple black and white coloring book page for a 4-year-old of All Saints Day scene. Clean outlines, no shading, lots of white space."
november_04.png,November 4,a thankful heart,"Simple black and white coloring book page for a 4-year-old of a thankful heart. Clean outlines, no shading, lots of white space."
november_05.png,November 5,acorns and leaves,"Simple black and white coloring book page for a 4-year-old of acorns and leaves. Clean outlines, no shading, lots of white space."
november_06.png,November 6,a pumpkin pie,"Simple black and white coloring book page for a 4-year-old of a pumpkin pie. Clean outlines, no shading, lots of white space."
november_07.png,November 7,Indian corn,"Simple black and white coloring book page for a 4-year-old of Indian corn. Clean outlines, no shading, lots of white space."
november_08.png,November 8,a harvest table,"Simple black and white coloring book page for a 4-year-old of a harvest table. Clean outlines, no shading, lots of white space."
november_09.png,November 9,a deer in autumn,"Simple black and white coloring book page for a 4-year-old of a deer in autumn. Clean outlines, no shading, lots of white space."
november_10.png,November 10,a Thanksgiving candle,"Simple black and white coloring book page for a 4-year-old of a Thanksgiving candle. Clean outlines, no shading, lots of white space."
november_11.png,November 11,a flag for Veterans Day,"Simple black and white coloring book page for a 4-year-old of a flag for Veterans Day. Clean outlines, no shading, lots of white space."
november_12.png,November 12,an owl in the leaves,"Simple black and white coloring book page for a 4-year-old of an owl in the leaves. Clean outlines, no shading, lots of white space."
november_13.png,November 13,an apple pie,"Simple black and white coloring book page for a 4-year-old of an apple pie. Clean outlines, no shading, lots of white space."
november_14.png,November 14,a squirrel gathering nuts,"Simple black and white coloring book page for a 4-year-old of a squirrel gathering nuts. Clean outlines, no shading, lots of white space."
november_15.png,November 15,a pumpkin,"Simple black and white coloring book page for a 4-year-old of a pumpkin. Clean outlines, no shading, lots of white space."
november_16.png,November 16,pinecones,"Simple black and white coloring book page for a 4-year-old of pinecones. Clean outlines, no shading, lots of white space."
november_17.png,November 17,a loaf of bread,"Simple black and white coloring book page for a 4-year-old of a loaf of bread. Clean outlines, no shading, lots of white space."
november_18.png,November 18,a family together,"Simple black and white coloring book page for a 4-year-old of a family together. Clean outlines, no shading, lots of white space."
november_19.png,November 19,a maple tree,"Simple black and white coloring book page for a 4-year-old of a maple tree. Clean outlines, no shading, lots of white space."
november_20.png,November 20,a Thanksgiving feast,"Simple black and white coloring book page for a 4-year-old of a Thanksgiving feast. Clean outlines, no shading, lots of white space."
november_21.png,November 21,a Pilgrim hat,"Simple black and white coloring book page for a 4-year-old of a Pilgrim hat. Clean outlines, no shading, lots of white space."
november_22.png,November 22,a cornucopia,"Simple black and white coloring book page for a 4-year-old of a cornucopia. Clean outlines, no shading, lots of white space."
november_23.png,November 23,a covered wagon,"Simple black and white coloring book page for a 4-year-old of a covered wagon. Clean outlines, no shading, lots of white space."
november_24.png,November 24,a Native American scene,"Simple black and white coloring book page for a 4-year-old of a Native American scene. Clean outlines, no shading, lots of white space."
november_25.png,November 25,an autumn forest,"Simple black and white coloring book page for a 4-year-old of an autumn forest. Clean outlines, no shading, lots of white space."
november_26.png,November 26,a star of gratitude,"Simple black and white coloring book page for a 4-year-old of a star of gratitude. Clean outlines, no shading, lots of white space."
november_27.png,November 27,a Thanksgiving scene,"Simple black and white coloring book page for a 4-year-old of a Thanksgiving scene. Clean outlines, no shading, lots of white space."
november_28.png,November 28,a bare winter tree,"Simple black and white coloring book page for a 4-year-old of a bare winter tree. Clean outlines, no shading, lots of white space."
november_29.png,November 29,an Advent wreath,"Simple black and white coloring book page for a 4-year-old of an Advent wreath. Clean outlines, no shading, lots of white space."
november_30.png,November 30,a candle of hope,"Simple black and white coloring book page for a 4-year-old of a candle of hope. Clean outlines, no shading, lots of white space."
december_01.png,December 1,a Christmas tree,"Simple black and white coloring book page for a 4-year-old of a Christmas tree. Clean outlines, no shading, lots of white space."
december_02.png,December 2,a star,"Simple black and white coloring book page for a 4-year-old of a star. Clean outlines, no shading, lots of white space."
december_03.png,December 3,an angel,"Simple black and white coloring book page for a 4-year-old of an angel. Clean outlines, no shading, lots of white space."
december_04.png,December 4,a candle,"Simple black and white coloring book page for a 4-year-old of a candle. Clean outlines, no shading, lots of white space."
december_05.png,December 5,a bell,"Simple black and white coloring book page for a 4-year-old of a bell. Clean outlines, no shading, lots of white space."
december_06.png,December 6,a wreath,"Simple black and white coloring book page for a 4-year-old of a wreath. Clean outlines, no shading, lots of white space."
december_07.png,December 7,a stocking,"Simple black and white coloring book page for a 4-year-old of a stocking. Clean outlines, no shading, lots of white space."
december_08.png,December 8,a snowflake,"Simple black and white coloring book page for a 4-year-old of a snowflake. Clean outlines, no shading, lots of white space."
december_09.png,December 9,a snowman,"Simple black and white coloring book page for a 4-year-old of a snowman. Clean outlines, no shading, lots of white space."
december_10.png,December 10,a starry sky,"Simple black and white coloring book page for a 4-year-old of a starry sky. Clean outlines, no shading, lots of white space."
december_11.png,December 11,a gingerbread house,"Simple black and white coloring book page for a 4-year-old of a gingerbread house. Clean outlines, no shading, lots of white space."
december_12.png,December 12,a reindeer,"Simple black and white coloring book page for a 4-year-old of a reindeer. Clean outlines, no shading, lots of white space."
december_13.png,December 13,the manger scene,"Simple black and white coloring book page for a 4-year-old of the manger scene. Clean outlines, no shading, lots of white space."
december_14.png,December 14,a gift,"Simple black and white coloring book page for a 4-year-old of a gift. Clean outlines, no shading, lots of white space."
december_15.png,December 15,a candy cane,"Simple black and white coloring book page for a 4-year-old of a candy cane. Clean outlines, no shading, lots of white space."
december_16.png,December 16,a dove,"Simple black and white coloring book page for a 4-year-old of a dove. Clean outlines, no shading, lots of white space."
december_17.png,December 17,a shepherd and sheep,"Simple black and white coloring book page for a 4-year-old of a shepherd and sheep. Clean outlines, no shading, lots of white space."
december_18.png,December 18,Christmas cookies,"Simple black and white coloring book page for a 4-year-old of Christmas cookies. Clean outlines, no shading, lots of white space."
december_19.png,December 19,the star of Bethlehem,"Simple black and white coloring book page for a 4-year-old of the star of Bethlehem. Clean outlines, no shading, lots of white space."
december_20.png,December 20,a sleigh,"Simple black and white coloring book page for a 4-year-old of a sleigh. Clean outlines, no shading, lots of white space."
december_21.png,December 21,the three wise men,"Simple black and white coloring book page for a 4-year-old of the three wise men. Clean outlines, no shading, lots of white space."
december_22.png,December 22,holly berries,"Simple black and white coloring book page for a 4-year-old of holly berries. Clean outlines, no shading, lots of white space."
december_23.png,December 23,baby Jesus,"Simple black and white coloring book page for a 4-year-old of baby Jesus. Clean outlines, no shading, lots of white space."
december_24.png,December 24,a Christmas Eve sky,"Simple black and white coloring book page for a 4-year-old of a Christmas Eve sky. Clean outlines, no shading, lots of white space."
december_25.png,December 25,the nativity,"Simple black and white coloring book page for a 4-year-old of the nativity. Clean outlines, no shading, lots of white space."
december_26.png,December 26,a winter bird,"Simple black and white coloring book page for a 4-year-old of a winter bird. Clean outlines, no shading, lots of white space."
december_27.png,December 27,a snowy village,"Simple black and white coloring book page for a 4-year-old of a snowy village. Clean outlines, no shading, lots of white space."
december_28.png,December 28,fireworks,"Simple black and white coloring book page for a 4-year-old of fireworks. Clean outlines, no shading, lots of white space."
december_29.png,December 29,a Christmas scene,"Simple black and white coloring book page for a 4-year-old of a Christmas scene. Clean outlines, no shading, lots of white space."
december_30.png,December 30,a New Year's scene,"Simple black and white coloring book page for a 4-year-old of a New Year's scene. Clean outlines, no shading, lots of white space."
december_31.png,December 31,a peace dove,"Simple black and white coloring book page for a 4-year-old of a peace dove. Clean outlines, no shading, lots of white space."
